Name,Description,Rating,Reviews,Launched Date,Categories,Support Email
Beae ‑ Landing Page Builder ," Create pages and build up your stores to boost sales with a powerful page builder  Beae allows you more flexibility on individual pages and areas within your theme that you can’t customize within your Shopify theme settings. We help save developer hiring expenses with our library of elements and pre-made templates. Add bonus pages, like FAQs, “Contact Info” or “About Us”. Design mobile responsive & SEO-optimized landing pages, homepages, product pages, collections, and blog posts. Build sections to add your existing pages. Try Beae for free now!   Beae allows you more flexibility on individual pages and areas within your theme that you can’t customize within your Shopify theme settings. We help save developer hiring expenses with our library of elements and pre-made templates. Add bonus pages, like FAQs, “Contact Info” or “About Us”. Design mobile responsive & SEO-optimized landing pages, homepages, product pages, collections, and blog posts. Build sections to add your existing pages. Try Beae for free now!  more         Easy-to-use drag-and-drop page builder, popup builder, theme section builder         Optimized for mobile devices & automatically SEO suggestion         400+ templates and 65+ elements like image comparison, breadcrumb, text marquee         Integrated with 95 apps, multi-language support, support all Shopify themes         24/7 chat support available on free plan    ",Rating (5),204,"November 22, 2021
          ·","Page builder, SEO, Page builder, SEO",support@beae.com
"K: Bundle Builder, Combo "," Kaktus Bundle makes it easy to create effective product bundles and bundle builders.  Kaktus is super easy to use, set up, and see an instant boost in conversions.
If you’re looking to boost your sales we know how! Create a conversion bundle, set trigger criteria, and customize your funnels to increase AOV. 

When the customer opens the product page, they will also see the products that are included in your bundle, pointing them to the discount, and an \""add to cart\"" button for the bundle product. All products will be added to the customer shopping cart in one click!   Kaktus is super easy to use, set up, and see an instant boost in conversions.
If you’re looking to boost your sales we know how! Create a conversion bundle, set trigger criteria, and customize your funnels to increase AOV. 

When the customer opens the product page, they will also see the products that are included in your bundle, pointing them to the discount, and an \""add to cart\"" button for the bundle product. All products will be added to the customer shopping cart in one click!  more         Turn Visitors into Buyers         Increase Your AOV         Multiple types of Bundles         Sales bundles floating pop-ups, inline and pop-ups         Offer bundles to your customers    ",Rating (4.9),79,"April 5, 2022","Product bundles, Recommended products, Product bundles, Recommended products",+380930008893
K: Daily Deals|Checkout Sales ," Make more money from the same traffic by using non-intrusive up-sell offers and cross-sell offers  Kaktus is an easy-to-use platform that helps you increase your average order value without making your customers go through Checkout or re-enter any information.
You can start seeing results in minutes, and our built-in split testing makes it easy to find what works best for your store. Is the perfect tool for anyone looking to increase their online revenue quickly and easily. Increasing your AOV is one of the most effective ways to boost your revenue without needing to increase your traffic.   Kaktus is an easy-to-use platform that helps you increase your average order value without making your customers go through Checkout or re-enter any information.
You can start seeing results in minutes, and our built-in split testing makes it easy to find what works best for your store. Is the perfect tool for anyone looking to increase their online revenue quickly and easily. Increasing your AOV is one of the most effective ways to boost your revenue without needing to increase your traffic.  more         One Click Upsell         In Cart Upsell         Post Purchase Upsell         Checkout Booster         Monster Upsell    ",Rating (4.8),17,"December 16, 2021","One-click checkout, Upselling and cross-selling, One-click checkout, Upselling and cross-selling",0930008893
MerchMixer ‑ US Dropshipping ," MerchMixer\'s automated dropshipping with one-click product importing offers 500K+ top products.  MerchMixer offers 500,000+ top dropship products. Unlimited Products Imports and Orders. Access high-quality dropship products, including apparel, consumer electronics, jewelry, and sunglasses. The app features include one-click product importing saving you time and clicks. Quickly search and filter for products across any product category. Execute all the MerchMixer app workflows right from your Shopify Admin. Scale up your dropship operation with no inventory risk via MerchMixer.   MerchMixer offers 500,000+ top dropship products. Unlimited Products Imports and Orders. Access high-quality dropship products, including apparel, consumer electronics, jewelry, and sunglasses. The app features include one-click product importing saving you time and clicks. Quickly search and filter for products across any product category. Execute all the MerchMixer app workflows right from your Shopify Admin. Scale up your dropship operation with no inventory risk via MerchMixer.  more         500,000+ Top Dropshipping Products with Simple Landed Cost Pricing         Unlimited Imports and Unlimited Orders         World-Class Customer Service with Quick Response Times    ",Rating (4.4),222,"September 8, 2020","Dropshipping, Dropshipping",1-602-755-3958
Shopaw Order Tagger ," Auto order tag management tool, meet all your scenarios.  1. Auto tagging orders
Free up your productivity No need to manually type labels one by one.
2. 30+ built-in workflow templates
No complicated setup is required Newbies can use it immediately
3. Customized personalized workflows
Only 3 steps , you can customize special tags for orders.   1. Auto tagging orders
Free up your productivity No need to manually type labels one by one.
2. 30+ built-in workflow templates
No complicated setup is required Newbies can use it immediately
3. Customized personalized workflows
Only 3 steps , you can customize special tags for orders.  more         Preset templates help create a workflow that tag order as a first-time customer.         Customize a specific workflow in just 3 steps. Then orders will be tagger.         Use order tags for efficient sorting and dispatch. Save more time and staff.    ",Rating (4.7),4,"January 18, 2022","Order tagger, Order tagger",kun@altgotech.com
K‑GOODS ," Do not search here and there to find popular Korean products. 
It\'s in the K-GOODS app.  Are you looking for products to sell online? Find latest Korean products with K-GOODS!

K-GOODS is a drop shipping app that helps you immediately sell trending Korean products on your store.

Orders are quickly processed and all suppliers release products from Korea. Of course, the products’ quality is guaranteed.

You do not have to worry about any problems with packaging, shipping, selling and your business growth. We got you!   Are you looking for products to sell online? Find latest Korean products with K-GOODS!

K-GOODS is a drop shipping app that helps you immediately sell trending Korean products on your store.

Orders are quickly processed and all suppliers release products from Korea. Of course, the products’ quality is guaranteed.

You do not have to worry about any problems with packaging, shipping, selling and your business growth. We got you!  more         You can find products and add them to your store with just one click.         All K-GOODS suppliers are curated with products from Korean brands.         With K-GOODS, you can directly ship items from Korea to your customer.    ",Rating (1),1,"August 31, 2020","Dropshipping, Dropshipping",kgoodsapp@gmail.com
TSE (KassenSichV) ," Record and export point of sale (POS) transactions to comply with KassenSichV regulation.  The Kassensicherungsverordnung (KassenSichV) requires German retailers with tax obligations to connect their electronic cash registers to a technical security system (TSE) and report all POS transactions. This app is a cloud TSE solution and is certified as compliant by the GoBD. To comply with KassenSichV regulation, use this app to record and export POS transaction data. The data, which comes directly from Shopify’s unaltered database, can be shared with your local tax office if required.   The Kassensicherungsverordnung (KassenSichV) requires German retailers with tax obligations to connect their electronic cash registers to a technical security system (TSE) and report all POS transactions. This app is a cloud TSE solution and is certified as compliant by the GoBD. To comply with KassenSichV regulation, use this app to record and export POS transaction data. The data, which comes directly from Shopify’s unaltered database, can be shared with your local tax office if required.  more         Activate TSE per retail location and record transactions. Deactivate at any time         Quickly export data for any location where TSE is active         Receive a ZIP file sent to your email address for easy access and sharing         Includes DSFinV-K, TSE certificates, and transactional data made through Shopify         TSE data appears on printed receipts for auditor checks    ",Rating (1.7),6,"March 22, 2021","Legal, Taxes, Legal, Taxes",support@shopify.com
Labelbot ," Print address labels direct from your orders list.  Perfect for local deliveries and self-shippers, this app allows you to easily select your addresses, information to display, and print out labels directly from your Shopify orders list. Labelbot automatically formats addresses within Shopify to make printing your mail outs  quick and easy. No more copy and pasting or writing out addresses by hand. Compatible with standard Avery labels and easily customizable to fit printer label sheet format.   Perfect for local deliveries and self-shippers, this app allows you to easily select your addresses, information to display, and print out labels directly from your Shopify orders list. Labelbot automatically formats addresses within Shopify to make printing your mail outs  quick and easy. No more copy and pasting or writing out addresses by hand. Compatible with standard Avery labels and easily customizable to fit printer label sheet format.  more         Easy to select and print orders         Customize customer information on the label         Compatible with all Avery templates         Print preview your labels directly in Shopify    ",Rating (5),1,"April 8, 2020","Shipping labels, Shipping labels",support@labelbot.atlassian.net
"ShipAny: Ship, Label, Tracking "," ShipAny, smart logistics gateway for e-commerce, now serves 4000+ merchants in Hong Kong and Asia.  ShipAny one-stop logistics SaaS platform interconnects multiple e-commerce platforms to multiple logistics service providers (including SF Express, Kerry Express, Jumppoint, Lalamove, Zeek, Havi Cold-Chain, alfred24, Hongkong Post, SF Locker, Circle-K Convenience Store, UPS, SingPost, Quantium Solutions etc.), so that merchants can enjoy full-set features of logistics automation for e-commerce platform which disrupt the manual logistics process and bring e-commerce to the new generation.   ShipAny one-stop logistics SaaS platform interconnects multiple e-commerce platforms to multiple logistics service providers (including SF Express, Kerry Express, Jumppoint, Lalamove, Zeek, Havi Cold-Chain, alfred24, Hongkong Post, SF Locker, Circle-K Convenience Store, UPS, SingPost, Quantium Solutions etc.), so that merchants can enjoy full-set features of logistics automation for e-commerce platform which disrupt the manual logistics process and bring e-commerce to the new generation.  more         Instantly Register, Top-up & Connect Multiple Logistics Service Providers         Diversified Logistics: Door-to-door, Smart Locker, Cold-chain, International         Logistics Automation: Quote Rate, Submit Order, Request Pickup, Print Waybill         Locker Listing at Checkout: Show Smart Locker & Self Pick-up Points at Checkout         Order Fulfillment: Mark Shopify Order Fulfilled with Tracking URL Automatically    ",Rating (4.8),10,"August 31, 2021","Shipping labels, Fulfilling orders - Other, Shipping labels, Fulfilling orders - Other",info@shipany.io
RMSify ,"   RMSify makes it easy for retailers using Microsoft Dynamics RMS to start trading online without the expense and risk associated with fully integrated solutions.

RMSify can be installed quickly and easily, and configured with a minimal amount of fuss, all without the need for an expensive consultant, or detailed technical knowledge of RMS or Shopify. If you can use RMS, you can use RMSify.

Using RMSify means you have total integration of your products across your sales channels. Items...   RMSify makes it easy for retailers using Microsoft Dynamics RMS to start trading online without the expense and risk associated with fully integrated solutions.

RMSify can be installed quickly and easily, and configured with a minimal amount of fuss, all without the need for an expensive consultant, or detailed technical knowledge of RMS or Shopify. If you can use RMS, you can use RMSify.

Using RMSify means you have total integration of your products across your sales channels. Items...  more    ",Rating (5),8,"January 25, 2013","Inventory tracking, Inventory sync, Inventory tracking, Inventory sync",support@k3retail.com
KOREALY‑Dropship Korea Items ," Dropshipping KOREA BRANDS & PRODUCTS  Korealy is a platform that makes it easy to find various products from Korea(South) and add them to your online store. Korealy is the special app to dropship HIGH-QUALITY KOREA(South) BRANDS and PRODUCTS.

With Korealy, you can access a huge variety of Korea(South) brands and products with just a few clicks - from beauty, toy, fashion, entertainment(K-pop), food to the next trending products. All the products are 100% authentic guaranteed.   Korealy is a platform that makes it easy to find various products from Korea(South) and add them to your online store. Korealy is the special app to dropship HIGH-QUALITY KOREA(South) BRANDS and PRODUCTS.

With Korealy, you can access a huge variety of Korea(South) brands and products with just a few clicks - from beauty, toy, fashion, entertainment(K-pop), food to the next trending products. All the products are 100% authentic guaranteed.  more         Dropshipping High-quality Korea(South) Brands and Products with fast-shipping.         We pick, pack, ship, and provide customer service for all products.         We will give it to you at wholesale price.         Worldwide Shipping Service         Offer media of packing process    ",Rating (2.9),5,"March 11, 2021","Dropshipping, Dropshipping",hello@korealy.co
Kakaclo ‑Clothing Dropshipping ," Clothing B2B Marketplace. Thousands of products from hundreds of Verified China/US Suppliers  KakaClo provides professional dropshipping and a customization service with its own factory and integrated supply chain. We have Everything you need to build a growing business   KakaClo provides professional dropshipping and a customization service with its own factory and integrated supply chain. We have Everything you need to build a growing business  more         US Warehouse: Keep inventory on hand in the US, ready to ship out to customers!         Hassle Free: Automatically place Dropshipping orders and provide tracking info.         Various Style: Over 1,000,000 SKUs are Available and updated on a daily base.    ",Rating (4.9),303,"January 25, 2022","Dropshipping, Finding suppliers, Dropshipping, Finding suppliers",support@kakaclo.com
